0,1,2
X1,X1,1
X88,X1,4
X10,X10,1
X119,X10,9
X100,X100,1
X737,X100,4
X1000,X1000,1
X676,X1000,1
X101,X101,1
X288,X101,4
X102,X102,1
X448,X102,7
X103,X103,1
X663,X103,1
X104,X104,1
X685,X104,10
X105,X105,1
X158,X105,2
X106,X106,1
X71,X106,3
X107,X107,1
X259,X107,1
X108,X108,1
X848,X108,4
X109,X109,1
X460,X109,1
X11,X11,1
X570,X11,3
X110,X110,1
X784,X110,5
X111,X111,1
X445,X111,10
X112,X112,1
X431,X112,6
X113,X113,1
X255,X113,4
X114,X114,1
X716,X114,8
X115,X115,1
X464,X115,1
X116,X116,1
X241,X116,9
X117,X117,1
X175,X117,5
X118,X118,1
X516,X118,5
X119,X119,1
X516,X119,4
X12,X12,1
X899,X12,5
X120,X120,1
X701,X120,4
X121,X121,1
X883,X121,7
X122,X122,1
X316,X122,5
X123,X123,1
X790,X123,6
X124,X124,1
X282,X124,9
X125,X125,1
X977,X125,5
X126,X126,1
X808,X126,3
X127,X127,1
X418,X127,5
X128,X128,1
X164,X128,5
X129,X129,1
X930,X129,8
X13,X13,1
X16,X13,4
X130,X130,1
X9,X130,1
X131,X131,1
X21,X131,5
X132,X132,1
X871,X132,3
X133,X133,1
X313,X133,4
X134,X134,1
X882,X134,5
X135,X135,1
X884,X135,2
X136,X136,1
X688,X136,8
X137,X137,1
X61,X137,8
X138,X138,1
X995,X138,2
X139,X139,1
X660,X139,6
X14,X14,1
X156,X14,7
X140,X140,1
X740,X140,10
X141,X141,1
X8,X141,8
X142,X142,1
X800,X142,1
X143,X143,1
X206,X143,9
X144,X144,1
X968,X144,3
X145,X145,1
X718,X145,5
X146,X146,1
X108,X146,6
X147,X147,1
X981,X147,7
X148,X148,1
X502,X148,5
X149,X149,1
X387,X149,3
X15,X15,1
X714,X15,2
X150,X150,1
X232,X150,7
X151,X151,1
X311,X151,3
X152,X152,1
X709,X152,2
X153,X153,1
X446,X153,2
X154,X154,1
X616,X154,6
X155,X155,1
