0,1,2
X1,X1,1
X428,X1,7
X10,X10,1
X192,X10,1
X100,X100,1
X298,X100,3
X1000,X1000,1
X396,X1000,9
X101,X101,1
X628,X101,10
X102,X102,1
X713,X102,4
X103,X103,1
X357,X103,7
X104,X104,1
X514,X104,5
X105,X105,1
X214,X105,2
X106,X106,1
X44,X106,5
X107,X107,1
X217,X107,6
X108,X108,1
X546,X108,4
X109,X109,1
X409,X109,3
X11,X11,1
X356,X11,7
X110,X110,1
X928,X110,8
X111,X111,1
X371,X111,9
X112,X112,1
X961,X112,3
X113,X113,1
X848,X113,4
X114,X114,1
X828,X114,7
X115,X115,1
X764,X115,10
X116,X116,1
X86,X116,5
X117,X117,1
X27,X117,4
X118,X118,1
X622,X118,2
X119,X119,1
X333,X119,4
X12,X12,1
X493,X12,1
X120,X120,1
X447,X120,4
X121,X121,1
X288,X121,8
X122,X122,1
X526,X122,5
X123,X123,1
X648,X123,1
X124,X124,1
X12,X124,7
X125,X125,1
X173,X125,8
X126,X126,1
X730,X126,4
X127,X127,1
X875,X127,1
X128,X128,1
X125,X128,10
X129,X129,1
X697,X129,4
X13,X13,1
X18,X13,4
X130,X130,1
X655,X130,1
X131,X131,1
X727,X131,1
X132,X132,1
X900,X132,2
X133,X133,1
X476,X133,1
X134,X134,1
X997,X134,8
X135,X135,1
X262,X135,3
X136,X136,1
X579,X136,8
X137,X137,1
X277,X137,10
X138,X138,1
X482,X138,8
X139,X139,1
X992,X139,6
X14,X14,1
X66,X14,8
X140,X140,1
X586,X140,9
X141,X141,1
X422,X141,5
X142,X142,1
X595,X142,6
X143,X143,1
X629,X143,3
X144,X144,1
X903,X144,3
X145,X145,1
X927,X145,4
X146,X146,1
X237,X146,5
X147,X147,1
X425,X147,1
X148,X148,1
X690,X148,1
X149,X149,1
X354,X149,1
X15,X15,1
X850,X15,1
X150,X150,1
X107,X150,1
X151,X151,1
X35,X151,10
X152,X152,1
X206,X152,3
X153,X153,1
X220,X153,7
X154,X154,1
X245,X154,4
X155,X155,1
X200,X155,5
X156,X156,1
X899,X156,5
X157,X157,1
X552,X157,8
X158,X158,1
X527,X158,6
X159,X159,1
X175,X159,2
X16,X16,1
X724,X16,4
X160,X160,1
X651,X160,9
X161,X161,1
X157,X161,3
X162,X162,1
X340,X162,8
X163,X163,1
X456,X163,3
X164,X164,1
X565,X164,4
X165,X165,1
X46,X165,9
X166,X166,1
X114,X166,1
X167,X167,1
X956,X167,2
X168,X168,1
X427,X168,8
X169,X169,1
X568,X169,10
X17,X17,1
X44,X17,7
X170,X170,1
X59,X170,9
X171,X171,1
X858,X171,10
X172,X172,1
X161,X172,3
X173,X173,1
X657,X173,7
X174,X174,1
X867,X174,2
X175,X175,1
X275,X175,4
X176,X176,1
X262,X176,2
X177,X177,1
X597,X177,9
X178,X178,1
X400,X178,8
X179,X179,1
X73,X179,9
X18,X18,1
X762,X18,2
X180,X180,1
X722,X180,6
X181,X181,1
X742,X181,10
X182,X182,1
X793,X182,10
X183,X183,1
X196,X183,2
X184,X184,1
X311,X184,5
X185,X185,1
X983,X185,10
X186,X186,1
X90,X186,10
X187,X187,1
X524,X187,2
X188,X188,1
X621,X188,7
X189,X189,1
X195,X189,5
X19,X19,1
X823,X19,6
X190,X190,1
X360,X190,2
X191,X191,1
X550,X191,10
X192,X192,1
X663,X192,4
X193,X193,1
X751,X193,2
X194,X194,1
X66,X194,1
X195,X195,1
X705,X195,4
X196,X196,1
X438,X196,1
X197,X197,1
X331,X197,1
X198,X198,1
X233,X198,7
X199,X199,1
X41,X199,2
X2,X2,1
X714,X2,8
X20,X20,1
X963,X20,10
X200,X200,1
X528,X200,3
X201,X201,1
X881,X201,9
X202,X202,1
X734,X202,4
X203,X203,1
X747,X203,1
X204,X204,1
X670,X204,3
X205,X205,1
X17,X205,10
X206,X206,1
X255,X206,9
X207,X207,1
X887,X207,4
X208,X208,1
X921,X208,3
X209,X209,1
X578,X209,1
X21,X21,1
X835,X21,5
X210,X210,1
X868,X210,10
X211,X211,1
X969,X211,10
X212,X212,1
X97,X212,5
X213,X213,1
X914,X213,7
X214,X214,1
X562,X214,7
X215,X215,1
X606,X215,2
X216,X216,1
X352,X216,4
X217,X217,1
X640,X217,6
X218,X218,1
X329,X218,2
X219,X219,1
X317,X219,8
X22,X22,1
X484,X22,7
X220,X220,1
X120,X220,5
X221,X221,1
X631,X221,4
X222,X222,1
X626,X222,1
X223,X223,1
X975,X223,2
X224,X224,1
X981,X224,5
X225,X225,1
X85,X225,3
X226,X226,1
X394,X226,7
X227,X227,1
X410,X227,1
X228,X228,1
X784,X228,4
X229,X229,1
X531,X229,2
X23,X23,1
X754,X23,3
X230,X230,1
X100,X230,7
X231,X231,1
X515,X231,5
X232,X232,1
X297,X232,7
X233,X233,1
X89,X233,6
X234,X234,1
X856,X234,3
X235,X235,1
X582,X235,3
X236,X236,1
X292,X236,2
X237,X237,1
X707,X237,6
X238,X238,1
X150,X238,4
X239,X239,1
X793,X239,7
X24,X24,1
X664,X24,5
X240,X240,1
X423,X240,8
X241,X241,1
X460,X241,1
X242,X242,1
X706,X242,5
X243,X243,1
X604,X243,5
X244,X244,1
X176,X244,5
X245,X245,1
X797,X245,5
X246,X246,1
X603,X246,5
X247,X247,1
X621,X247,6
X248,X248,1
X413,X248,2
X249,X249,1
X482,X249,7
X25,X25,1
X360,X25,5
X250,X250,1
X100,X250,3
X251,X251,1
X439,X251,8
X252,X252,1
X938,X252,4
X253,X253,1
X541,X253,3
X254,X254,1
X800,X254,8
X255,X255,1
X23,X255,7
X256,X256,1
X76,X256,2
X257,X257,1
X998,X257,9
X258,X258,1
X195,X258,1
X259,X259,1
X966,X259,2
X26,X26,1
X980,X26,3
X260,X260,1
X185,X260,2
X261,X261,1
X678,X261,5
X262,X262,1
X618,X262,5
X263,X263,1
X318,X263,4
X264,X264,1
X688,X264,9
X265,X265,1
X163,X265,9
X266,X266,1
X485,X266,1
X267,X267,1
X115,X267,8
X268,X268,1
X380,X268,2
X269,X269,1
X187,X269,4
X27,X27,1
X144,X27,3
X270,X270,1
X329,X270,1
X271,X271,1
X576,X271,1
X272,X272,1
X229,X272,5
X273,X273,1
X494,X273,3
X274,X274,1
X5,X274,1
X275,X275,1
X322,X275,2
X276,X276,1
X519,X276,7
X277,X277,1
X610,X277,1
X278,X278,1
X374,X278,6
X279,X279,1
X236,X279,4
X28,X28,1
X682,X28,3
X280,X280,1
X911,X280,4
X281,X281,1
X25,X281,6
X282,X282,1
X672,X282,9
X283,X283,1
X910,X283,2
X284,X284,1
