0,1,2
X1,X1,1
X517,X1,10
X10,X10,1
X132,X10,5
X100,X100,1
X802,X100,1
X1000,X1000,1
X269,X1000,3
X101,X101,1
X393,X101,1
X102,X102,1
X406,X102,10
X103,X103,1
X72,X103,3
X104,X104,1
X448,X104,7
X105,X105,1
X181,X105,3
X106,X106,1
X562,X106,9
X107,X107,1
X3,X107,8
X108,X108,1
X158,X108,4
X109,X109,1
X858,X109,1
X11,X11,1
X68,X11,2
X110,X110,1
X53,X110,4
X111,X111,1
X51,X111,3
X112,X112,1
X654,X112,3
X113,X113,1
X850,X113,8
X114,X114,1
X746,X114,5
X115,X115,1
X340,X115,6
X116,X116,1
X772,X116,6
X117,X117,1
X576,X117,10
X118,X118,1
X885,X118,9
X119,X119,1
X382,X119,2
X12,X12,1
X428,X12,8
X120,X120,1
X175,X120,7
X121,X121,1
X207,X121,3
X122,X122,1
X662,X122,2
X123,X123,1
X49,X123,4
X124,X124,1
X403,X124,1
X125,X125,1
X111,X125,3
X126,X126,1
X515,X126,8
X127,X127,1
X124,X127,2
X128,X128,1
X50,X128,1
X129,X129,1
X304,X129,2
X13,X13,1
X435,X13,1
X130,X130,1
X224,X130,8
X131,X131,1
X350,X131,10
X132,X132,1
X994,X132,5
X133,X133,1
X376,X133,8
X134,X134,1
X466,X134,3
X135,X135,1
X217,X135,9
X136,X136,1
X776,X136,2
X137,X137,1
X583,X137,4
X138,X138,1
X82,X138,2
X139,X139,1
X533,X139,1
X14,X14,1
X892,X14,10
X140,X140,1
X474,X140,5
X141,X141,1
X707,X141,8
X142,X142,1
X545,X142,4
X143,X143,1
X648,X143,8
X144,X144,1
X298,X144,2
X145,X145,1
X135,X145,2
X146,X146,1
X517,X146,1
X147,X147,1
X974,X147,7
X148,X148,1
X669,X148,8
X149,X149,1
X504,X149,8
X15,X15,1
X601,X15,7
X150,X150,1
X934,X150,1
X151,X151,1
X283,X151,6
X152,X152,1
X448,X152,5
X153,X153,1
X530,X153,1
X154,X154,1
X653,X154,3
X155,X155,1
X510,X155,7
X156,X156,1
X13,X156,10
X157,X157,1
X19,X157,9
X158,X158,1
X266,X158,5
X159,X159,1
X832,X159,2
X16,X16,1
X738,X16,10
X160,X160,1
X480,X160,7
X161,X161,1
X704,X161,5
X162,X162,1
X470,X162,7
X163,X163,1
X104,X163,5
X164,X164,1
X735,X164,9
X165,X165,1
X365,X165,4
X166,X166,1
X760,X166,8
X167,X167,1
X866,X167,9
X168,X168,1
X716,X168,7
X169,X169,1
X129,X169,1
X17,X17,1
X544,X17,6
X170,X170,1
X558,X170,2
X171,X171,1
X649,X171,8
X172,X172,1
X928,X172,1
X173,X173,1
X708,X173,4
X174,X174,1
X369,X174,6
X175,X175,1
X318,X175,5
X176,X176,1
X717,X176,7
X177,X177,1
X240,X177,10
X178,X178,1
X100,X178,10
X179,X179,1
X862,X179,7
X18,X18,1
X647,X18,5
X180,X180,1
X873,X180,9
X181,X181,1
X575,X181,6
X182,X182,1
X22,X182,8
X183,X183,1
X638,X183,8
X184,X184,1
X571,X184,6
X185,X185,1
X657,X185,9
X186,X186,1
X287,X186,10
X187,X187,1
X860,X187,8
X188,X188,1
X196,X188,3
X189,X189,1
X593,X189,2
X19,X19,1
X508,X19,6
X190,X190,1
X78,X190,5
X191,X191,1
X823,X191,4
X192,X192,1
X785,X192,5
X193,X193,1
X682,X193,1
X194,X194,1
X847,X194,7
X195,X195,1
X643,X195,10
X196,X196,1
X271,X196,4
X197,X197,1
X438,X197,6
X198,X198,1
X621,X198,9
X199,X199,1
X879,X199,6
X2,X2,1
X141,X2,5
X20,X20,1
X802,X20,2
X200,X200,1
X422,X200,2
X201,X201,1
X648,X201,6
X202,X202,1
X83,X202,10
X203,X203,1
X927,X203,9
X204,X204,1
X230,X204,2
X205,X205,1
X149,X205,8
X206,X206,1
X399,X206,6
X207,X207,1
X689,X207,6
X208,X208,1
X444,X208,10
X209,X209,1
X862,X209,3
X21,X21,1
X741,X21,9
X210,X210,1
X4,X210,10
X211,X211,1
X83,X211,2
X212,X212,1
X463,X212,4
