0,1,2
X1,X1,1
X802,X1,9
X10,X10,1
X514,X10,4
X100,X100,1
X380,X100,6
X1000,X1000,1
X17,X1000,4
X101,X101,1
X762,X101,8
X102,X102,1
X964,X102,10
X103,X103,1
X143,X103,1
X104,X104,1
X700,X104,4
X105,X105,1
X545,X105,7
X106,X106,1
X801,X106,4
X107,X107,1
X694,X107,7
X108,X108,1
X692,X108,3
X109,X109,1
X404,X109,3
X11,X11,1
X278,X11,9
X110,X110,1
X173,X110,7
X111,X111,1
X981,X111,9
X112,X112,1
X385,X112,7
X113,X113,1
X774,X113,6
X114,X114,1
X756,X114,4
X115,X115,1
X500,X115,2
X116,X116,1
X372,X116,2
X117,X117,1
X760,X117,1
X118,X118,1
X299,X118,8
X119,X119,1
X458,X119,1
X12,X12,1
X326,X12,8
X120,X120,1
X374,X120,8
X121,X121,1
X525,X121,3
X122,X122,1
X869,X122,1
X123,X123,1
X666,X123,4
X124,X124,1
X533,X124,10
X125,X125,1
X213,X125,3
X126,X126,1
X916,X126,9
X127,X127,1
X672,X127,8
X128,X128,1
X544,X128,3
X129,X129,1
X178,X129,9
X13,X13,1
X509,X13,7
X130,X130,1
X680,X130,5
X131,X131,1
X566,X131,1
X132,X132,1
X422,X132,4
X133,X133,1
X116,X133,7
X134,X134,1
X417,X134,10
X135,X135,1
X973,X135,5
X136,X136,1
X749,X136,5
X137,X137,1
X41,X137,1
X138,X138,1
X96,X138,2
X139,X139,1
X244,X139,8
X14,X14,1
X21,X14,2
X140,X140,1
X569,X140,4
X141,X141,1
X705,X141,10
X142,X142,1
X258,X142,7
X143,X143,1
X987,X143,8
X144,X144,1
X886,X144,9
X145,X145,1
X375,X145,5
X146,X146,1
X160,X146,3
X147,X147,1
X303,X147,9
X148,X148,1
X372,X148,1
X149,X149,1
X822,X149,6
X15,X15,1
X474,X15,9
X150,X150,1
X487,X150,9
X151,X151,1
X268,X151,10
X152,X152,1
X233,X152,1
X153,X153,1
X941,X153,9
X154,X154,1
X849,X154,1
X155,X155,1
X953,X155,1
X156,X156,1
X580,X156,8
X157,X157,1
X53,X157,2
X158,X158,1
X316,X158,5
X159,X159,1
X597,X159,8
X16,X16,1
X278,X16,3
X160,X160,1
X626,X160,5
X161,X161,1
X825,X161,9
X162,X162,1
X883,X162,4
X163,X163,1
X428,X163,9
X164,X164,1
X813,X164,6
X165,X165,1
X777,X165,5
X166,X166,1
X672,X166,1
X167,X167,1
X853,X167,6
X168,X168,1
X573,X168,7
X169,X169,1
X37,X169,2
X17,X17,1
X430,X17,4
X170,X170,1
X161,X170,1
X171,X171,1
X858,X171,9
X172,X172,1
X894,X172,8
X173,X173,1
X658,X173,7
X174,X174,1
X307,X174,2
X175,X175,1
X417,X175,6
X176,X176,1
X215,X176,2
X177,X177,1
X235,X177,3
X178,X178,1
X46,X178,3
X179,X179,1
X532,X179,5
X18,X18,1
X715,X18,2
X180,X180,1
X909,X180,1
X181,X181,1
X652,X181,2
X182,X182,1
X676,X182,2
X183,X183,1
X313,X183,10
X184,X184,1
X66,X184,7
X185,X185,1
X547,X185,1
X186,X186,1
X349,X186,2
X187,X187,1
X306,X187,10
X188,X188,1
X615,X188,10
X189,X189,1
X31,X189,4
X19,X19,1
X571,X19,6
X190,X190,1
X14,X190,10
X191,X191,1
X477,X191,10
X192,X192,1
X962,X192,4
X193,X193,1
X810,X193,3
X194,X194,1
X658,X194,3
X195,X195,1
X196,X195,4
X196,X196,1
X323,X196,1
X197,X197,1
X430,X197,1
X198,X198,1
X305,X198,5
X199,X199,1
X50,X199,9
X2,X2,1
X576,X2,5
X20,X20,1
X414,X20,3
X200,X200,1
X580,X200,1
X201,X201,1
X436,X201,4
X202,X202,1
X589,X202,7
X203,X203,1
X465,X203,7
X204,X204,1
X999,X204,1
X205,X205,1
X806,X205,10
X206,X206,1
X189,X206,4
X207,X207,1
X846,X207,9
X208,X208,1
X528,X208,6
X209,X209,1
X488,X209,6
X21,X21,1
X765,X21,10
X210,X210,1
X740,X210,4
X211,X211,1
X487,X211,2
X212,X212,1
X14,X212,3
X213,X213,1
X502,X213,3
X214,X214,1
X377,X214,3
X215,X215,1
X823,X215,8
X216,X216,1
X782,X216,5
X217,X217,1
X392,X217,10
X218,X218,1
X536,X218,1
X219,X219,1
X360,X219,6
X22,X22,1
X286,X22,10
X220,X220,1
X261,X220,8
X221,X221,1
X470,X221,9
X222,X222,1
X238,X222,4
X223,X223,1
X357,X223,9
X224,X224,1
X803,X224,3
X225,X225,1
X209,X225,1
X226,X226,1
X451,X226,10
X227,X227,1
X325,X227,3
X228,X228,1
X24,X228,2
X229,X229,1
X100,X229,10
X23,X23,1
X404,X23,6
X230,X230,1
X605,X230,4
X231,X231,1
X830,X231,4
X232,X232,1
X236,X232,4
X233,X233,1
X812,X233,7
X234,X234,1
X614,X234,10
X235,X235,1
X470,X235,3
X236,X236,1
X633,X236,8
X237,X237,1
X426,X237,9
X238,X238,1
X75,X238,10
X239,X239,1
X85,X239,9
X24,X24,1
X450,X24,1
X240,X240,1
X596,X240,8
X241,X241,1
X574,X241,3
X242,X242,1
X960,X242,8
X243,X243,1
X716,X243,3
X244,X244,1
X719,X244,1
X245,X245,1
X877,X245,3
X246,X246,1
X765,X246,6
X247,X247,1
X44,X247,9
X248,X248,1
X190,X248,8
X249,X249,1
X586,X249,6
X25,X25,1
X517,X25,3
X250,X250,1
X152,X250,4
X251,X251,1
X83,X251,3
X252,X252,1
X871,X252,10
X253,X253,1
X318,X253,6
X254,X254,1
X914,X254,2
X255,X255,1
X927,X255,10
X256,X256,1
X352,X256,10
X257,X257,1
X625,X257,8
X258,X258,1
X240,X258,2
X259,X259,1
X151,X259,7
X26,X26,1
X234,X26,9
X260,X260,1
X962,X260,1
