0,1,2
X1,X1,1
X266,X1,7
X10,X10,1
X200,X10,5
X100,X100,1
X636,X100,4
X1000,X1000,1
X778,X1000,4
X101,X101,1
X307,X101,2
X102,X102,1
X463,X102,10
X103,X103,1
X12,X103,9
X104,X104,1
X274,X104,8
X105,X105,1
X938,X105,3
X106,X106,1
X133,X106,4
X107,X107,1
X956,X107,2
X108,X108,1
X605,X108,5
X109,X109,1
X668,X109,6
X11,X11,1
X835,X11,5
X110,X110,1
X128,X110,2
X111,X111,1
X247,X111,6
X112,X112,1
X103,X112,8
X113,X113,1
X718,X113,5
X114,X114,1
X656,X114,5
X115,X115,1
X669,X115,2
X116,X116,1
X80,X116,5
X117,X117,1
X572,X117,6
X118,X118,1
X463,X118,9
X119,X119,1
X527,X119,6
X12,X12,1
X215,X12,10
X120,X120,1
X512,X120,8
X121,X121,1
X294,X121,6
X122,X122,1
X653,X122,6
X123,X123,1
X479,X123,7
X124,X124,1
X197,X124,7
X125,X125,1
X217,X125,2
X126,X126,1
X659,X126,6
X127,X127,1
X295,X127,10
X128,X128,1
X623,X128,2
X129,X129,1
X386,X129,5
X13,X13,1
X601,X13,9
X130,X130,1
X351,X130,9
X131,X131,1
X637,X131,2
X132,X132,1
X615,X132,1
X133,X133,1
X697,X133,7
X134,X134,1
X834,X134,1
X135,X135,1
X638,X135,10
X136,X136,1
X962,X136,10
X137,X137,1
X185,X137,3
X138,X138,1
X122,X138,2
X139,X139,1
X250,X139,2
X14,X14,1
X74,X14,8
X140,X140,1
X998,X140,5
X141,X141,1
X197,X141,6
X142,X142,1
X889,X142,2
X143,X143,1
X68,X143,5
X144,X144,1
X788,X144,4
X145,X145,1
X378,X145,5
X146,X146,1
X406,X146,7
X147,X147,1
X912,X147,5
X148,X148,1
X192,X148,2
X149,X149,1
X411,X149,8
X15,X15,1
X368,X15,6
X150,X150,1
X850,X150,5
X151,X151,1
X197,X151,3
X152,X152,1
X126,X152,5
X153,X153,1
X515,X153,10
X154,X154,1
X87,X154,1
X155,X155,1
X244,X155,4
X156,X156,1
X248,X156,4
X157,X157,1
X201,X157,1
